entity_id,state,last_changed
sensor.netznutzung_kwh,5507.04,2024-01-07T19:00:00.000Z
sensor.netznutzung_kwh,5509.11,2024-01-07T20:00:00.000Z
sensor.netznutzung_kwh,5510.87,2024-01-07T21:00:00.000Z
sensor.netznutzung_kwh,5515.55,2024-01-07T22:00:00.000Z
sensor.netznutzung_kwh,5518.88,2024-01-07T23:00:00.000Z
sensor.netznutzung_kwh,5522.44,2024-01-08T00:00:00.000Z
sensor.netznutzung_kwh,5524.32,2024-01-08T01:00:00.000Z
sensor.netznutzung_kwh,5525.69,2024-01-08T02:00:00.000Z
sensor.netznutzung_kwh,5527.42,2024-01-08T03:00:00.000Z
sensor.netznutzung_kwh,5529.96,2024-01-08T04:00:00.000Z
sensor.netznutzung_kwh,5531.47,2024-01-08T05:00:00.000Z
sensor.netznutzung_kwh,5533.55,2024-01-08T06:00:00.000Z
sensor.netznutzung_kwh,5535.41,2024-01-08T07:00:00.000Z
sensor.netznutzung_kwh,5538.23,2024-01-08T08:00:00.000Z
sensor.netznutzung_kwh,5540.73,2024-01-08T09:00:00.000Z
sensor.netznutzung_kwh,5543.31,2024-01-08T10:00:00.000Z
sensor.netznutzung_kwh,5544.97,2024-01-08T11:00:00.000Z
sensor.netznutzung_kwh,5547.01,2024-01-08T12:00:00.000Z
sensor.netznutzung_kwh,5549.07,2024-01-08T13:00:00.000Z
sensor.netznutzung_kwh,5551.67,2024-01-08T14:00:00.000Z
sensor.netznutzung_kwh,5554.54,2024-01-08T15:00:00.000Z
sensor.netznutzung_kwh,5557.57,2024-01-08T16:00:00.000Z
sensor.netznutzung_kwh,5559.09,2024-01-08T17:00:00.000Z
sensor.netznutzung_kwh,5561.69,2024-01-08T18:00:00.000Z
sensor.netznutzung_kwh,5562.79,2024-01-08T19:00:00.000Z
sensor.netznutzung_kwh,5566.81,2024-01-08T20:00:00.000Z
sensor.netznutzung_kwh,5568.88,2024-01-08T21:00:00.000Z
sensor.netznutzung_kwh,5570.76,2024-01-08T22:00:00.000Z
sensor.netznutzung_kwh,5572.78,2024-01-08T23:00:00.000Z
sensor.netznutzung_kwh,5574.42,2024-01-09T00:00:00.000Z
sensor.netznutzung_kwh,5576.64,2024-01-09T01:00:00.000Z
sensor.netznutzung_kwh,5578.79,2024-01-09T02:00:00.000Z
sensor.netznutzung_kwh,5581.7,2024-01-09T03:00:00.000Z
sensor.netznutzung_kwh,5583.69,2024-01-09T04:00:00.000Z
sensor.netznutzung_kwh,5585.79,2024-01-09T05:00:00.000Z
sensor.netznutzung_kwh,5587.98,2024-01-09T06:00:00.000Z
sensor.netznutzung_kwh,5589.75,2024-01-09T07:00:00.000Z
sensor.netznutzung_kwh,5592.12,2024-01-09T08:00:00.000Z
sensor.netznutzung_kwh,5594.23,2024-01-09T09:00:00.000Z
sensor.netznutzung_kwh,5596.54,2024-01-09T10:00:00.000Z
sensor.netznutzung_kwh,5599.61,2024-01-09T11:00:00.000Z
sensor.netznutzung_kwh,5602.83,2024-01-09T12:00:00.000Z
sensor.netznutzung_kwh,5604.8,2024-01-09T13:00:00.000Z
sensor.netznutzung_kwh,5607.29,2024-01-09T14:00:00.000Z
sensor.netznutzung_kwh,5610.09,2024-01-09T15:00:00.000Z
sensor.netznutzung_kwh,5612.08,2024-01-09T16:00:00.000Z
sensor.netznutzung_kwh,5614.21,2024-01-09T17:00:00.000Z
sensor.netznutzung_kwh,5616.55,2024-01-09T18:00:00.000Z
sensor.netznutzung_kwh,5617.07,2024-01-09T19:00:00.000Z
sensor.netznutzung_kwh,5620.66,2024-01-09T20:00:00.000Z
sensor.netznutzung_kwh,5630.83,2024-01-09T21:00:00.000Z
sensor.netznutzung_kwh,5639.78,2024-01-09T22:00:00.000Z
sensor.netznutzung_kwh,5641.66,2024-01-09T23:00:00.000Z
sensor.netznutzung_kwh,5643.86,2024-01-10T00:00:00.000Z
sensor.netznutzung_kwh,5645.49,2024-01-10T01:00:00.000Z
sensor.netznutzung_kwh,5647.6,2024-01-10T02:00:00.000Z
sensor.netznutzung_kwh,5649.65,2024-01-10T03:00:00.000Z
sensor.netznutzung_kwh,5652.45,2024-01-10T04:00:00.000Z
sensor.netznutzung_kwh,5655.03,2024-01-10T05:00:00.000Z
sensor.netznutzung_kwh,5657.2,2024-01-10T06:00:00.000Z
sensor.netznutzung_kwh,5659.51,2024-01-10T07:00:00.000Z
sensor.netznutzung_kwh,5661.25,2024-01-10T08:00:00.000Z
sensor.netznutzung_kwh,5663.55,2024-01-10T09:00:00.000Z
sensor.netznutzung_kwh,5666.54,2024-01-10T10:00:00.000Z
sensor.netznutzung_kwh,5669.99,2024-01-10T11:00:00.000Z
sensor.netznutzung_kwh,5672.17,2024-01-10T12:00:00.000Z
sensor.netznutzung_kwh,5674.45,2024-01-10T13:00:00.000Z
sensor.netznutzung_kwh,5676.61,2024-01-10T14:00:00.000Z
sensor.netznutzung_kwh,5678.84,2024-01-10T15:00:00.000Z
sensor.netznutzung_kwh,5681.9,2024-01-10T16:00:00.000Z
sensor.netznutzung_kwh,5683.89,2024-01-10T17:00:00.000Z
sensor.netznutzung_kwh,5686.31,2024-01-10T18:00:00.000Z
sensor.netznutzung_kwh,5690.04,2024-01-10T19:00:00.000Z
sensor.netznutzung_kwh,5693.23,2024-01-10T20:00:00.000Z
sensor.netznutzung_kwh,5701.3,2024-01-10T21:00:00.000Z
sensor.netznutzung_kwh,5705.25,2024-01-10T22:00:00.000Z
sensor.netznutzung_kwh,5708.79,2024-01-10T23:00:00.000Z
sensor.netznutzung_kwh,5710.39,2024-01-11T00:00:00.000Z
sensor.netznutzung_kwh,5712.4,2024-01-11T01:00:00.000Z
sensor.netznutzung_kwh,5714.24,2024-01-11T02:00:00.000Z
sensor.netznutzung_kwh,5715.98,2024-01-11T03:00:00.000Z
sensor.netznutzung_kwh,5718,2024-01-11T04:00:00.000Z
sensor.netznutzung_kwh,5719.61,2024-01-11T05:00:00.000Z
sensor.netznutzung_kwh,5721.69,2024-01-11T06:00:00.000Z
sensor.netznutzung_kwh,5725.3,2024-01-11T07:00:00.000Z
sensor.netznutzung_kwh,5728.19,2024-01-11T08:00:00.000Z
sensor.netznutzung_kwh,5730.33,2024-01-11T09:00:00.000Z
sensor.netznutzung_kwh,5733.09,2024-01-11T10:00:00.000Z
sensor.netznutzung_kwh,5735.63,2024-01-11T11:00:00.000Z
sensor.netznutzung_kwh,5738.74,2024-01-11T12:00:00.000Z
sensor.netznutzung_kwh,5742.74,2024-01-11T13:00:00.000Z
sensor.netznutzung_kwh,5744.77,2024-01-11T14:00:00.000Z
sensor.netznutzung_kwh,5747.56,2024-01-11T15:00:00.000Z
sensor.netznutzung_kwh,5749.76,2024-01-11T16:00:00.000Z
sensor.netznutzung_kwh,5751.93,2024-01-11T17:00:00.000Z
sensor.netznutzung_kwh,5754.7,2024-01-11T18:00:00.000Z
sensor.netznutzung_kwh,5756.54,2024-01-11T19:00:00.000Z
sensor.netznutzung_kwh,5760.22,2024-01-11T20:00:00.000Z
sensor.netznutzung_kwh,5768.62,2024-01-11T21:00:00.000Z
sensor.netznutzung_kwh,5773.94,2024-01-11T22:00:00.000Z
sensor.netznutzung_kwh,5777.52,2024-01-11T23:00:00.000Z
sensor.netznutzung_kwh,5781.58,2024-01-12T00:00:00.000Z
sensor.netznutzung_kwh,5785.07,2024-01-12T01:00:00.000Z
sensor.netznutzung_kwh,5787.21,2024-01-12T02:00:00.000Z
sensor.netznutzung_kwh,5789.09,2024-01-12T03:00:00.000Z
sensor.netznutzung_kwh,5791.17,2024-01-12T04:00:00.000Z
sensor.netznutzung_kwh,5793.65,2024-01-12T05:00:00.000Z
sensor.netznutzung_kwh,5796.71,2024-01-12T06:00:00.000Z
sensor.netznutzung_kwh,5799,2024-01-12T07:00:00.000Z
sensor.netznutzung_kwh,5803.27,2024-01-12T08:00:00.000Z
sensor.netznutzung_kwh,5805.84,2024-01-12T09:00:00.000Z
sensor.netznutzung_kwh,5807.88,2024-01-12T10:00:00.000Z
sensor.netznutzung_kwh,5810.12,2024-01-12T11:00:00.000Z
sensor.netznutzung_kwh,5811.76,2024-01-12T12:00:00.000Z
sensor.netznutzung_kwh,5813.61,2024-01-12T13:00:00.000Z
sensor.netznutzung_kwh,5816.01,2024-01-12T14:00:00.000Z
sensor.netznutzung_kwh,5819.99,2024-01-12T15:00:00.000Z
sensor.netznutzung_kwh,5823.61,2024-01-12T16:00:00.000Z
sensor.netznutzung_kwh,5826.26,2024-01-12T17:00:00.000Z
sensor.netznutzung_kwh,5829.14,2024-01-12T18:00:00.000Z
sensor.netznutzung_kwh,5830.42,2024-01-12T19:00:00.000Z
sensor.netznutzung_kwh,5833.98,2024-01-12T20:00:00.000Z
sensor.netznutzung_kwh,5838.23,2024-01-12T21:00:00.000Z
sensor.netznutzung_kwh,5842.58,2024-01-12T22:00:00.000Z
sensor.netznutzung_kwh,5846.37,2024-01-12T23:00:00.000Z
sensor.netznutzung_kwh,5850.27,2024-01-13T00:00:00.000Z
sensor.netznutzung_kwh,5853.02,2024-01-13T01:00:00.000Z
sensor.netznutzung_kwh,5854.7,2024-01-13T02:00:00.000Z
sensor.netznutzung_kwh,5856.86,2024-01-13T03:00:00.000Z
sensor.netznutzung_kwh,5858.75,2024-01-13T04:00:00.000Z
sensor.netznutzung_kwh,5860.64,2024-01-13T05:00:00.000Z
sensor.netznutzung_kwh,5862.83,2024-01-13T06:00:00.000Z
sensor.netznutzung_kwh,5864.63,2024-01-13T07:00:00.000Z
sensor.netznutzung_kwh,5868.28,2024-01-13T08:00:00.000Z
sensor.netznutzung_kwh,5872.05,2024-01-13T09:00:00.000Z
sensor.netznutzung_kwh,5874.71,2024-01-13T10:00:00.000Z
sensor.netznutzung_kwh,5877.92,2024-01-13T11:00:00.000Z
sensor.netznutzung_kwh,5883.77,2024-01-13T12:00:00.000Z
sensor.netznutzung_kwh,5887.45,2024-01-13T13:00:00.000Z
sensor.netznutzung_kwh,5889.77,2024-01-13T14:00:00.000Z
sensor.netznutzung_kwh,5892.06,2024-01-13T15:00:00.000Z
sensor.netznutzung_kwh,5895,2024-01-13T16:00:00.000Z
sensor.netznutzung_kwh,5897.44,2024-01-13T17:00:00.000Z
sensor.netznutzung_kwh,5899.83,2024-01-13T18:00:00.000Z
sensor.netznutzung_kwh,5902.43,2024-01-13T19:00:00.000Z
sensor.netznutzung_kwh,5911.62,2024-01-13T20:00:00.000Z
sensor.netznutzung_kwh,5918.22,2024-01-13T21:00:00.000Z
sensor.netznutzung_kwh,5922.85,2024-01-13T22:00:00.000Z
sensor.netznutzung_kwh,5927.05,2024-01-13T23:00:00.000Z
sensor.netznutzung_kwh,5931,2024-01-14T00:00:00.000Z
sensor.netznutzung_kwh,5934.67,2024-01-14T01:00:00.000Z
sensor.netznutzung_kwh,5937.52,2024-01-14T02:00:00.000Z
sensor.netznutzung_kwh,5939.52,2024-01-14T03:00:00.000Z
sensor.netznutzung_kwh,5941.46,2024-01-14T04:00:00.000Z
sensor.netznutzung_kwh,5943.88,2024-01-14T05:00:00.000Z
sensor.netznutzung_kwh,5946.03,2024-01-14T06:00:00.000Z
sensor.netznutzung_kwh,5949.74,2024-01-14T07:00:00.000Z
sensor.netznutzung_kwh,5951.52,2024-01-14T08:00:00.000Z
sensor.netznutzung_kwh,5953.41,2024-01-14T09:00:00.000Z
sensor.netznutzung_kwh,5954.96,2024-01-14T10:00:00.000Z
sensor.netznutzung_kwh,5956.25,2024-01-14T11:00:00.000Z
sensor.netznutzung_kwh,5957.9,2024-01-14T12:00:00.000Z
sensor.netznutzung_kwh,5959.33,2024-01-14T13:00:00.000Z
sensor.netznutzung_kwh,5961.11,2024-01-14T14:00:00.000Z
sensor.netznutzung_kwh,5963.31,2024-01-14T15:00:00.000Z
sensor.netznutzung_kwh,5965.89,2024-01-14T16:00:00.000Z
sensor.netznutzung_kwh,5967.79,2024-01-14T17:00:00.000Z
sensor.netznutzung_kwh,5970.41,2024-01-14T18:00:00.000Z
sensor.netznutzung_kwh,5973.64,2024-01-14T19:00:00.000Z
sensor.netznutzung_kwh,5976.61,2024-01-14T20:00:00.000Z
sensor.netznutzung_kwh,5979.04,2024-01-14T21:00:00.000Z
sensor.netznutzung_kwh,5980.84,2024-01-14T22:00:00.000Z
sensor.netznutzung_kwh,5982.92,2024-01-14T23:00:00.000Z
sensor.netznutzung_kwh,5984.64,2024-01-15T00:00:00.000Z
sensor.netznutzung_kwh,5986.35,2024-01-15T01:00:00.000Z
